RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,ICESArea,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,Cal_Distance,Cal_DoorSpread,Cal_WingSpread,BeamWidth,DSflag,WSflag,DistanceFlag,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,DateofCalculation
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,43F427,27,2005,8,30,911,-9,30,D,57.1727,4.4985,57.1496,4.5457,43F4,-9,61,V,43F427,1,1,R,-9,F,8,3881,225,-9,-9,-9,-9,-9,-9,-9,-9,-9,130,-9,-9,-9,-9,-9,-9,210,4,-9,-9,14.7,7.4,34.3,35.3,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3881,-9,-9,8,-9,-9,O,-9,-9,0.031048,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,43F023,23,2005,8,29,1308,-9,30,D,57.2380,0.5024,57.205,0.5063,43F0,-9,88,V,43F023,1,1,R,-9,F,8,3733,320,-9,-9,-9,-9,-9,-9,-9,-9,-9,180,-9,-9,-9,-9,-9,-9,240,9,-9,-9,13.6,8.5,35.1,35.1,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3733,-9,-9,8,-9,-9,O,-9,-9,0.029864,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,43F509,9,2005,8,24,1149,-9,30,D,57.3696,5.3490,57.3965,5.3069,43F5,-9,78,V,43F509,1,1,R,-9,F,8,3913,275,-9,-9,-9,-9,-9,-9,-9,-9,-9,320,-9,-9,-9,-9,-9,-9,200,12,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3913,-9,-9,8,-9,-9,O,-9,-9,0.031304,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,44F326,26,2005,8,30,623,-9,30,D,57.5495,3.8277,57.5276,3.8756,44F3,-9,74,V,44F326,1,1,R,-9,F,8,3779,280,-9,-9,-9,-9,-9,-9,-9,-9,-9,135,-9,-9,-9,-9,-9,-9,210,2,-9,-9,14.6,7.6,33.3,35.2,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3779,-9,-9,8,-9,-9,O,-9,-9,0.030232,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,44F124,24,2005,8,29,1639,-9,21,D,57.5712,1.4179,57.5731,1.4662,44F1,-9,93,V,44F124,1,1,R,-9,F,8,2892,350,-9,-9,-9,-9,-9,-9,-9,-9,-9,85,-9,-9,-9,-9,-9,-9,210,7,-9,-9,14.2,7.4,35.1,35.1,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,2892,-9,-9,8,-9,-9,O,-9,-9,0.023136,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,44F225,25,2005,8,29,1839,-9,30,D,57.5966,2.0514,57.602,2.1131,44F2,-9,88,V,44F225,1,1,R,-9,F,8,3744,320,-9,-9,-9,-9,-9,-9,-9,-9,-9,80,-9,-9,-9,-9,-9,-9,210,7,-9,-9,14.9,7.5,34.2,35.1,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3744,-9,-9,8,-9,-9,O,-9,-9,0.029952,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,44F410,10,2005,8,24,1740,-9,30,D,57.6137,4.3634,57.618,4.3,44F4,-9,71,V,44F410,1,1,R,-9,F,8,3866,280,-9,-9,-9,-9,-9,-9,-9,-9,-9,280,-9,-9,-9,-9,-9,-9,180,12,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3866,-9,-9,8,-9,-9,O,-9,-9,0.030928,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,44F011,11,2005,8,25,627,-9,30,D,57.6853,0.5632,57.6894,0.4997,44F0,-9,102,V,44F011,1,1,R,-9,F,8,3822,350,-9,-9,-9,-9,-9,-9,-9,-9,-9,280,-9,-9,-9,-9,-9,-9,270,7,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3822,-9,-9,8,-9,-9,O,-9,-9,0.030576,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,44E815,15,2005,8,25,1638,-9,30,D,57.7486,-1.3578,57.7498,-1.4227,44E8,-9,90,V,44E815,1,1,R,-9,F,8,3850,350,-9,-9,-9,-9,-9,-9,-9,-9,-9,270,-9,-9,-9,-9,-9,-9,230,9,-9,-9,12.7,11.7,34.9,35,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3850,-9,-9,8,-9,-9,O,-9,-9,0.0308,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,44E914,14,2005,8,25,1444,-9,30,D,57.8097,-0.8807,57.7864,-0.9984,44E9,-9,98,V,44E914,1,1,R,-9,F,8,4018,350,-9,-9,-9,-9,-9,-9,-9,-9,-9,235,-9,-9,-9,-9,-9,-9,270,4,-9,-9,12.7,10.8,35.1,35.2,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,4018,-9,-9,8,-9,-9,O,-9,-9,0.032144,20212210
