RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,ICESArea,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,Cal_Distance,Cal_DoorSpread,Cal_WingSpread,BeamWidth,DSflag,WSflag,DistanceFlag,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,DateofCalculation
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_01,1,1986,9,30,1614,-9,15,D,52.5500,4.5333,-9,-9,34F4,-9,15,V,630_01,1,1,R,-9,-9,4,1684,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,359,-9,-9,-9,15.2,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1684,-9,-9,6,-9,-9,O,-9,-9,0.010104,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_03,3,1987,9,28,1723,-9,15,D,52.5000,4.2000,-9,-9,33F4,-9,19,V,630_03,1,1,R,-9,-9,4,1522,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,315,2,-9,-9,16.2,-9,27.88,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1522,-9,-9,6,-9,-9,O,-9,-9,0.009132,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_02,2,1987,9,28,1620,-9,15,D,52.5166,4.3666,-9,-9,34F4,-9,14,V,630_02,1,1,R,-9,-9,4,1648,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,315,2,-9,-9,16.2,-9,27.91,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1648,-9,-9,6,-9,-9,O,-9,-9,0.009888,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_01,1,1987,9,28,1512,-9,15,D,52.5500,4.5333,-9,-9,34F4,-9,13,V,630_01,1,1,R,-9,-9,4,1630,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,338,2,-9,-9,16.2,-9,27.93,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1630,-9,-9,6,-9,-9,O,-9,-9,0.00978,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,605_17,17,1987,9,30,810,-9,15,D,54.0666,6.9000,-9,-9,37F6,-9,30,V,605_17,1,1,R,-9,-9,4,1593,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,113,4,-9,-9,15.1,-9,27.9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1593,-9,-9,6,-9,-9,O,-9,-9,0.009558,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,608_23,23,1987,9,30,1817,-9,15,D,53.8166,7.1166,-9,-9,36F7,-9,17,V,608_23,1,1,R,-9,-9,4,1556,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,90,4,-9,-9,15,-9,27.94,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1556,-9,-9,6,-9,-9,O,-9,-9,0.009336,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,608_24,24,1987,9,30,1940,-9,15,N,53.8333,7.3666,-9,-9,36F7,-9,15,V,608_24,1,1,R,-9,-9,4,1593,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,90,4,-9,-9,15.1,-9,27.95,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1593,-9,-9,6,-9,-9,O,-9,-9,0.009558,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,608_25,25,1987,9,30,2059,-9,15,N,53.8666,7.5666,-9,-9,36F7,-9,15,V,608_25,1,1,R,-9,-9,4,1611,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,90,4,-9,-9,15,-9,27.94,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1611,-9,-9,6,-9,-9,O,-9,-9,0.009666,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,605_20,20,1987,9,30,1302,-9,15,D,53.8833,6.3666,-9,-9,36F6,-9,25,V,605_20,1,1,R,-9,-9,4,1593,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,135,4,-9,-9,15.4,-9,27.89,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1593,-9,-9,6,-9,-9,O,-9,-9,0.009558,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,605_19,19,1987,9,30,1023,-9,15,D,53.9166,6.7000,-9,-9,36F6,-9,20,V,605_19,1,1,R,-9,-9,4,1611,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,113,4,-9,-9,15.1,-9,27.91,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1611,-9,-9,6,-9,-9,O,-9,-9,0.009666,20212210
